filename,view,psnr_unique3d,ssim_unique3d,lpips_unique3d,clip_sim_unique3d,psnr_zero123,ssim_zero123,lpips_zero123,clip_sim_zero123
GoPro_HERO3_Composite_Cable,left,12.407926834273983,0.876278537755492,0.27309054136276245,106.875,10.611321910594118,0.8379219799619031,0.33799922466278076,100.625
GoPro_HERO3_Composite_Cable,right,11.413740284409752,0.8782189370321949,0.2887536287307739,103.25,9.76469364638725,0.8340277204780603,0.36210039258003235,102.25
GoPro_HERO3_Composite_Cable,back,11.57555129675952,0.8036157699975025,0.18359152972698212,104.8125,10.259003912296382,0.7974618317175463,0.32469505071640015,101.6875
Great_Dinos_Triceratops_Toy,front,9.398236731118065,0.8219909979481341,0.37351080775260925,107.875,24.25941104194238,0.9569973658614157,0.02279447391629219,114.4375
Great_Dinos_Triceratops_Toy,left,8.992625768535195,0.8261018366680247,0.4794800877571106,97.875,11.202527585315124,0.8614579172704759,0.35388514399528503,99.1875
Great_Dinos_Triceratops_Toy,right,9.187104886336815,0.8285683530296489,0.46956804394721985,94.5625,10.726640530769348,0.850381853222573,0.3852718472480774,103.1875
Great_Dinos_Triceratops_Toy,back,9.299090990352868,0.8151614581487585,0.43948203325271606,102.1875,7.155802029467146,0.7362885797489316,0.5528233647346497,104.75
JBL_Charge_Speaker_portable_wireless_wired_Green,front,37.29854708142658,0.9712576364545424,0.006999733857810497,114.0625,12.035651866964255,0.8590996795738506,0.21355393528938293,111.6875
JBL_Charge_Speaker_portable_wireless_wired_Green,left,16.05182840795415,0.9240587474716764,0.13330122828483582,117.1875,11.999527771795965,0.8801017165436649,0.343352735042572,105.625
JBL_Charge_Speaker_portable_wireless_wired_Green,right,16.258890177977328,0.9313606354723503,0.12824754416942596,119.9375,11.60028068399249,0.8779252956138959,0.3727511167526245,104.5625
JBL_Charge_Speaker_portable_wireless_wired_Green,back,22.365360297228168,0.9140001049947074,0.11168406903743744,95.875,12.245563334369374,0.833672915886445,0.2478456348180771,103.4375
Justified_The_Complete_Fourth_Season_3_Discs_DVD,front,18.923165660568976,0.9029276556816916,0.06695199757814407,97.125,15.975923457083121,0.9045055088146532,0.12263700366020203,96.75
Justified_The_Complete_Fourth_Season_3_Discs_DVD,left,12.511307051876537,0.8951245486009932,0.2640097737312317,81.125,16.564783755912128,0.8988924558754228,0.1357174515724182,93.125
